غاده,داود,علي,داود,الداود,GHADA,DAWOOD,ALI,ALDAWOOD
جاسم,محمد,حسن,سوادي,بتور,JASIM,MOHAMMED,HASAN,Beatur
ياسر,محمدامين,عبوش,حسين,الحمادة,YASSER,MOHAMMED AMIN,ABOSH,ALGADA
محمد,عبدالمحسن,صالح,محمد,الطالبي,MOHAMMED,ABD ALMUHSEN,SALEH,ALTALBEE
احمد,صلاح,ناصر,سليمان,الجبوري,AHMED,SALAH,NASER,AL-GBURI
سعد,احمد,حسن,سليمان,قدو,SAAD,AHMED,HASAN,qadow
انوار,سمير,محمد,حسن,لطيف,ANWAR,SAMIR,MOHAMMED,LATEEF
عمار,علي,عبد,حمود,الجبوري,AMMAR,ALI,ABED,AL-GBURI
هاشم,عباس,خصاف,علي,الشويلي,HASHIM,ABBAS,KHASSAF,AL-SHUWAILI
صفوان,يوسف,محمود,حمادي,البارودي,SAFWAN,YOUSIF,MAHMOOD,ALBARODE
